Road,S Ref E,S Ref N,FdCar,Score
A888,69987,800378,396,0.040209873
A888,70630,800000,396,0.040209873
A888,70923,802919,396,0.040209873
A865,74900,868400,656,0.066610294
A865,75500,830000,664,0.067422615
A865,77100,820500,610,0.06193945
A865,79900,846600,1296,0.131595947
A865,80000,850400,800,0.081232066
A867,81200,864100,721,0.0732104
A865,81300,855650,343,0.034828248
A867,81910,864600,466,0.047317678
A865,89500,870700,379,0.038483691
A3111,90200,10585,527,0.053511624
A3112,91000,10240,614,0.062345611
A3111,91000,10775,753,0.076459682
A865,91200,869000,610,0.06193945
A3110,91515,10820,335,0.034015928
A3110,91800,10890,162,0.016449493
A859,100800,893000,420,0.042646835
A859,115200,900100,540,0.054831645
A859,120000,912100,568,0.057674767
A858,120700,936700,366,0.03716367
A850,125000,848100,521,0.052902383
A863,126000,846750,863,0.087629091
A847,126460,661000,919,0.093315336
A863,127000,846330,825,0.083770568
A850,127000,847970,891,0.090472214
A850,127700,850000,623,0.063259471
A847,128000,663250,889,0.090269133
A847,130000,662930,901,0.091487614
A858,130000,929660,709,0.071991919
A858,130000,947700,757,0.076865843
A846,131400,660000,1632,0.165713415
A863,131700,840630,635,0.064477952
A846,133640,662200,1499,0.152208584
A859,134470,922400,1031,0.104687825
A850,134480,851100,918,0.093213796
A30,135000,25029,1400,0.142156116
A857,136560,950900,1408,0.142968436
A858,136696,933767,709,0.071991919
A846,137500,645400,583,0.059197868
A855,138830,866000,524,0.053207003
A87,138860,864000,1028,0.104383205
A846,138900,665800,665,0.067524155
A849,139500,722360,353,0.035843649
A859,139800,931800,351,0.035640569
A863,140000,833000,420,0.042646835
A30,140000,27559,1911,0.194043098
A3071,140000,31467,2923,0.296801661
A857,140300,939400,1678,0.170384259
A87,141380,852800,996,0.101133922
A858,142000,934100,5351,0.543340982
A863,142000,831090,852,0.08651215
A857,142300,933000,7079,0.718802245
A857,142400,935100,7035,0.714334481
A857,142500,933700,15376,1.56128031
A30,145000,29262,4009,0.407074191
A87,145000,847800,2157,0.219021958
A30,145585,29600,7121,0.723066928
A30,145855,30000,9071,0.921070089
A87,147650,840100,1388,0.140937635
A87,147700,842000,2382,0.241868477
A846,149000,663840,110,0.011169409
