ID,Road,S Ref E,S Ref N,Score1,Score2,Score3,Category,ScoreForCatUnweighted
A1 326000 674080,A1,326000,674080,-0.78805141,0.330005268,-1.037764179,PU,-0.78805141
A1 327600 674300,A1,327600,674300,-0.22474737,1.196548333,-0.224483281,PU,-0.22474737
A1 330000 672800,A1,330000,672800,-0.185935233,1.256253902,-0.168447522,PU,-0.185935233
A1 331300 672200,A1,331300,672200,0.158115111,3.116671295,1.577619108,PU,0.158115111
A1 332000 671500,A1,332000,671500,0.403521762,3.763177001,3.234982094,PR,0.403521762
A1 332840 671250,A1,332840,671250,0.403521762,3.763177001,3.234982094,PR,0.403521762
A1 333750 670750,A1,333750,670750,0.203039347,3.763177001,1.070486086,TR,0.203039347
A1 335000 670855,A1,335000,670855,0.253594811,4.215538068,1.337030094,TR,0.253594811
A1 337790 672000,A1,337790,672000,0.119336293,3.014217351,0.629177758,TR,0.119336293
A1 340000 673600,A1,340000,673600,0.105991012,2.894806214,0.55881732,TR,0.105991012
A1 344000 673050,A1,344000,673050,0.003847413,1.980843931,0.020284747,TR,0.003847413
A1 347000 673700,A1,347000,673700,-0.191222603,1.581791406,-0.214848351,TR,-0.191222603
A1 350000 674285,A1,350000,674285,-0.249319531,1.471011176,-0.280123214,TR,-0.249319531
A1 351590 674700,A1,351590,674700,-0.922093671,0.188153773,-1.036019284,TR,-0.922093671
A1 351640 674630,A1,351640,674630,-0.905745589,0.219326578,-1.01765138,TR,-0.905745589
A1 357200 676440,A1,357200,676440,-0.40465293,1.174818755,-0.454648213,TR,-0.40465293
A1 358900 676330,A1,358900,676330,-0.579848982,0.840751884,-0.651489915,TR,-0.579848982
A1 367360 677270,A1,367360,677270,-0.571328809,0.856998297,-0.641917066,TR,-0.571328809
A1 367400 677350,A1,367400,677350,-0.685605626,0.63909328,-0.7703129,TR,-0.685605626
A1 376400 672640,A1,376400,672640,-0.71537298,0.582332374,-0.803758041,TR,-0.71537298
A1 377890 671000,A1,377890,671000,-0.736460407,0.542122501,-0.827450841,TR,-0.736460407
A1 380700 665530,A1,380700,665530,-0.762074176,0.493281721,-0.856229218,TR,-0.762074176
A1 390000 662100,A1,390000,662100,-0.771499618,0.475309127,-0.866819182,TR,-0.771499618
A1 393000 661650,A1,393000,661650,-0.705308526,0.601523449,-0.792450113,TR,-0.705308526
A1 395000 661160,A1,395000,661160,-0.606581024,0.789778762,-0.681524728,TR,-0.606581024
A1 397400 657100,A1,397400,657100,-0.62415388,0.756270535,-0.701268729,TR,-0.62415388
A1 398000 650970,A1,398000,650970,-0.644176286,0.718091464,-0.723764923,TR,-0.644176286
A1 398298 654000,A1,398298,654000,-0.607273288,0.788458741,-0.682302522,TR,-0.607273288
A1 398860 655000,A1,398860,655000,-0.600244146,0.801862032,-0.674404922,TR,-0.600244146
A1 398950 654650,A1,398950,654650,-0.552264923,0.893349647,-0.620497817,TR,-0.552264923
A1 400000 649590,A1,400000,649590,-0.701314695,0.609138955,-0.78796284,TR,-0.701314695
A1 401082 648000,A1,401082,648000,-0.503859692,0.985649582,-0.56611207,TR,-0.503859692
A1 405000 642370,A1,405000,642370,-0.704403257,0.603249631,-0.791432998,TR,-0.704403257
A1 411160 635000,A1,411160,635000,-0.681079284,0.647724187,-0.765227325,TR,-0.681079284
A1 412301 632000,A1,412301,632000,-0.726076447,0.561922817,-0.815783932,TR,-0.726076447
A1 413000 630866,A1,413000,630866,-0.601788427,0.79891737,-0.676140001,TR,-0.601788427
A1 415000 626200,A1,415000,626200,-0.65125868,0.704586633,-0.731722354,TR,-0.65125868
A1 416900 622200,A1,416900,622200,-0.710580383,0.591470981,-0.798373313,TR,-0.710580383
A1 418150 588550,A1,418150,588550,-0.862026453,0.302690986,-0.9685307,TR,-0.862026453
A1 418173 619356,A1,418173,619356,-0.70749182,0.597360306,-0.794903156,TR,-0.70749182
A1 418200 588000,A1,418200,588000,-0.143616138,1.67256824,-0.161360059,TR,-0.143616138
A1 418239 610153,A1,418239,610153,-0.440597409,1.1062792,-0.495033668,TR,-0.440597409
A1 419450 564180,A1,419450,564180,0.425081234,5.600950955,1.439578928,TU,0.425081234
A1 419500 565190,A1,419500,565190,0.778928217,7.939520597,2.637916136,TU,0.778928217
A1 419600 564230,A1,419600,564230,-0.332642088,1.929769269,-0.441619534,TU,-0.332642088
