Road,S Ref E,S Ref N,Score
A601,351000,470180,-1
M6(T),415660,296860,-1
M6(T),415770,296710,-1
A3203,531600,179400,-1
A19,441420,540960,-1
A838,240120,929220,-1
A889,264140,790000,-1
B1315,431453,567139,-1
B1414,625000,231000,-1
B1461,521843,192238,-1
B278,527767,160023,-1
B3326,459764,92532,-1
B352,518404,171880,-1
B363,514270,176580,-1
B4275,305412,198081,-1
B4468,357503,174951,-1
B4478,316700,209390,-1
B4591,321890,193688,-1
B467,505657,184976,-1
B5156,362020,386640,-1
B5232,372592,401635,-1
B5426,327313,351147,-1
B552,523168,192449,-1
B6013,439035,358753,-1
B6086,437725,395639,-1
C145,430880,297790,-1
B1037,530174,228583,-1
B1050,539272,266156,-1
B1053,565521,233733,-1
B1065,583390,248648,-1
B1077,585660,304490,-1
B1078,609574,254649,-1
B1106,583710,267530,-1
B1222,458269,439999,-1
B1349,338842,674178,-1
B1352,614000,231300,-1
B1387,646550,274400,-1
B2087,570290,131010,-1
B3016,479268,160250,-1
B3223,278594,139835,-1
B3223,290326,130804,-1
B3306,151210,40200,-1
B4230,338648,248144,-1
B4242,283040,203359,-1
B4287,278150,195750,-1
B4320,185748,202533,-1
B4395,301720,313080,-1
B4410,263415,341884,-1
B4507,429454,187182,-1
B5102,337625,357204,-1
B5151,332233,378013,-1
B5160,372521,388463,-1
B5285,332379,498447,-1
B5289,321647,514449,-1
B5291,320002,532070,-1
B5427,281583,358610,-1
B5429,311189,350761,-1
B5431,318923,353953,-1
B6034,462750,368496,-1
B6051,429960,377160,-1
B6086,437721,393820,-1
B6160,404445,459585,-1
B6257,361401,498083,-1
B6287,427610,532153,-1
B6318,354084,567135,-1
B6428,437456,411763,-1
B651,519434,222563,-1
B6521,423555,376261,-1
B733,235876,557929,-1
B764,255000,650840,-1
B775,245380,660440,-1
B781,223009,649304,-1
B8004,219300,788000,-1
B842,179000,632700,-1
B871,271400,947500,-1
B9057,331500,1022100,-1
B9071,433600,1153900,-1
B9119,367870,806600,-1
C,172325,39767,-1
C,211228,83902,-1
C,225963,675932,-1
C,275422,69429,-1
C,278470,381270,-1
C,286670,190739,-1
C,288736,57693,-1
C,289475,64859,-1
C,294532,195814,-1
C,294832,93134,-1
C,297000,518000,-1
C,306817,189451,-1
C,307755,192146,-1
C,308430,687370,-1
C,314499,180224,-1
C,317433,178133,-1
C,324819,208684,-1
C,327295,186913,-1
C,328760,137986,-1
C,330262,137245,-1
C,332438,141577,-1
C,333076,157997,-1
C,333080,384228,-1
C,334755,436355,-1
C,341204,171478,-1
C,345703,415365,-1
C,349006,431904,-1
C,349128,406694,-1
C,349661,387175,-1
C,351801,405364,-1
C,354300,116248,-1
C,356826,430817,-1
C,357840,406784,-1
C,357951,424634,-1
C,358118,180024,-1
C,362000,172000,-1
C,364202,312234,-1
